OBJECTID,Reported Date,Information Reliability,Region of Incident,Number Dead,Number Missing,Nationalities,Region of Origin,Migrant route,Location Description,Number of Female,Number of Male,Number of Children,Age Range,Information Source,URL,Comments,Has the record been reviewed for quality and ready for public view,Cause of death,Number of survivors,x,y,
122980,"November 4, 2016",Verified,Mediterranean,1,,Unknown,Unknown,Central Mediterranean,Unspecified Location between Libya and Italy,,,,,UNHCR,,,,Unknown,,1623372.76964997,4114852.40082627,
122981,"April 20, 2016",Partially Verified,U.S./Mexico Border,1,,Mexico,Central America & Mexico,,"Plutarco Elías Calles Municipality, Hermosillo, Sonora State, Mexico",,1,,19,El Imparcial,http://bit.ly/2evXFYI,,,"Hyperthermia, Dehydration",,-12350306.8378428,3389025.83061177,
123377,"October 13, 2016",Partially Verified,Central America incl. Mexico,1,,Honduras,Central America & Mexico,Central America to USA,"Between Aguascalientes and Jalisco, Mexico",,1,1,15,alchileaguascalientes.com,,,,Fell from train,,-11373793.6538777,2428744.57202423,
123378,"October 21, 2016",Partially Verified,U.S./Mexico Border,1,,Nicaragua,Central America & Mexico,Central America to USA,"Rio Bravo at Reynosa, Tamaulipas, Mexico",,1,,42,Radio Eco Digital via Facebook,,,,Drowning,,-10936869.2199529,3007956.81058268,
123379,"November 3, 2016",Partially Verified,U.S./Mexico Border,1,,Honduras,Central America & Mexico,Central America to USA,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico",,1,,25,Laredo Monitor,http://bit.ly/2fT0Hvz,,,Drowning,,-11075056.2333483,3181117.17099619,
123380,"November 4, 2016",Verified,Mediterranean,10,12,Reported as unspecified national of Africa,Sub-Saharan Africa,Central Mediterranean,Unspecified location between Libya and Italy,12,,,,Italian Coast Guard,http://bit.ly/2eeGpvQ,,,Unknown,,1557331.17718374,4048810.80838582,
123381,"November 5, 2016",Partially Verified,Mediterranean,1,,Reported as unspecified national of Africa,Sub-Saharan Africa,Central Mediterranean,"Northwest of Khoms, Libya",,,,,AFP,http://dailym.ai/2eNLfwC,,,Drowning,115,1588087.1662985,3881470.09505982,
123777,"June 16, 2016",Partially Verified,U.S./Mexico Border,1,,Mexico,Central America & Mexico,Mexico to USA,"Río Bravo, near Rancho Río Grande, KM110 of Federal Highway 2, between Guerrero and Hidalgo, Coahuila, Mexico",1,,1,16,El Siglo,http://bit.ly/2eFrd9N,,,"Drowning, Asphyxiation",,-11156876.1109563,3273428.0186228,
124177,"August 12, 2016",Partially Verified,U.S./Mexico Border,1,,Mexico,Central America & Mexico,Mexico to USA,"Río Bravo, 300 meters from “La Cruz del Immigrate”, Matamoros, Tamaulipas, Mexico",,1,,20,Hoy Tamaulipas,http://bit.ly/2eTRPkZ,,,Drowning,,-10854987.5682652,2984905.42747555,
124577,"November 8, 2016",Partially Verified,Mediterranean,4,22,Reported as unspecified nationals of Africa,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,UNHCR,,,,Drowning,,1498627.53946073,3972985.27634267,
125777,"November 13, 2016",Verified,Mediterranean,5,1,Reported as unspecified nationals of West Africa,Sub-Saharan Africa,Central Mediterranean,Unspecified location in the Central Mediterranean,,,,,SOS Mediteranee,http://bit.ly/2fc0vn7,,,Drowning,114,1679630.43407292,4210590.26490902,
125778,"November 13, 2016",Verified,Mediterranean,,135,Reported as unspecified nationals of West Africa,Sub-Saharan Africa,Central Mediterranean,Unspecified location in the Central Mediterranean,,,,,IOM Italy,,,,Presumed drowning,15,1772577.86052335,4068723.14053418,
125779,"November 13, 2016",Partially Verified,Mediterranean,,3,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,,,1,15,IOM Italy,,,,Presumed drowning,,1405680.12469884,4024695.4122411,
125780,"November 15, 2016",Verified,Mediterranean,4,,Unknown,Middle East/ South Asia,Eastern Mediterranean,"14 km east of Thassos, Greece",,4,,,Hellenic Coast Guard,http://hcg.gr/node/13883,,,Drowning,15,2797495.56567229,4951736.5392227,
125782,"November 14, 2016",Partially Verified,Southeast Asia,1,,Rohingya,South East Asia,Myanmar to Bangladesh,"Unspecified location in Myanmar, near border with Bangladesh",1,,,,AFP,http://bit.ly/2f34OA9,,,Shot,1,10288029.5979361,2438985.11502689,
126178,"November 14, 2016",Verified,Mediterranean,4,95,Unknown,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,,,,Drowning,23,1684522.40393883,3970883.74425542,
126179,"April 3, 2016",Partially Verified,Caribbean,1,,Venezuela,South East Asia,,"Baby Beach, San Nicholas, Aruba",,1,,,PanamPost,http://bit.ly/2f0bJxv,,,Drowning,,-7779226.04717723,1392641.74587588,
126180,"April 13, 2016",Partially Verified,Central America incl. Mexico,1,,Honduras,Central America & Mexico,Central America to US,"Tenosique El Ceibo road, between the municipalities Xotal y Sueños de Oro, Mexico",,1,,22,Noticias de la Frontera,http://bit.ly/2ewBLtu,,,Hit by vehicle,,-10167506.554842,1970030.54011925,
126181,"September 29, 2016",Partially Verified,South America,1,,Cuba,Caribbean,Caribbean to US,"Darien Gap, Choco, Colombia",,1,,30-35,Noticias RPTV,http://bit.ly/2cG8c7K,,,Heart attack,,-8598374.18103231,873198.630224365,
126577,"November 15, 2016",Verified,Mediterranean,7,96,Unknown,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Rome,,,,Drowning,27,1486397.61496293,4029242.9291545,
126977,"November 16, 2016",Verified,Mediterranean,,25,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,,,,Presumed drowning,,1721212.16585499,4002337.09521334,
127377,"February 11, 2016",Partially Verified,Caribbean,1,25,Cuba,Caribbean,,"In the Atlantic Ocean, taken to Puerto de Bahía las Minas, Colón, Panamá",,1,,,Havana Leaks,http://bit.ly/2fhv4ai  http://bit.ly/2k0nhDI,Body recovered from boat,,Unknown,4,-8887005.23449828,1049248.20929487,
127777,"November 17, 2016",Partially Verified,Mediterranean,6,3,Syria,Middle East,Eastern Mediterranean,"Unspecified location off the coast of Didim, Aydin, Turkey",,,,,UNHCR,http://bit.ly/2eWhIok,,,Drowning,,3031154.49412493,4482717.93474476,
127778,"November 17, 2016",Verified,U.S./Mexico Border,6,,Mixed,Central America & Mexico,,"Webb County jurisdiction, Texas, USA",,,,,Washington Post,http://wapo.st/2fbj7CK,Number of dead is cumulative 1 January - 18 November 2016,,Mixed,,-11062051.409979,3183812.37307651,
128177,"November 20, 2016",Partially Verified,U.S./Mexico Border,1,,Mexico,Central America & Mexico,Mexico to USA,"Río Bravo, International Bridge One, Piedras Negras, Coahuila, Mexico",,1,,66,La Rancherita del Aire,http://bit.ly/2fobUQ3,,,Presumed drowning,,-11188880.9290956,3338543.26311715,
128178,"November 20, 2016",Partially Verified,Europe,1,,Afghanistan,South Asia,Western Balkans,"Central Belgrade, Serbia",,1,,26,IOM Belgrade,http://bit.ly/2fAwA86,,,Stabbed,1,2276638.76564734,5590604.1790315,
128577,"March 1, 2016",Verified,Europe,1,,Sudan,North Africa,"Calais, France to UK","Calais, France",,1,,54,Calais Prefecture,,,,Unknown,,209799.698092332,6615833.94793816,
128578,"July 26, 2016",Verified,Europe,1,,Sudan,North Africa,"Calais, France to UK","Calais, France",,1,,28,Calais Prefecture,,,,Unknown,,210411.194311659,6615872.16640698,
128579,"November 16, 2016",Partially Verified,Central America incl. Mexico,1,,Reported as unspecified national of Central America,Central America & Mexico,,"La Patrona, Amatlán, Veracruz, México",,,,,El Pinero de la Cuenca,http://bit.ly/2gjYXaG,,,Fell from train,,-10789181.8833959,2136469.14899182,
128580,"November 22, 2016",Partially Verified,Mediterranean,2,26,Unknown,Mixed,Central Mediterranean,Unspecified location between Libya and Italy,,,,,MOAS,https://twitter.com/moas_eu/status/801722366632005632?lang=en,,,Unknown,,1481505.64509702,3972985.27634267,
128581,"November 21, 2016",Partially Verified,Mediterranean,7,,Unknown,Unknown,Central Mediterranean,Unspecified location between Libya and Italy,,,,,IOM Italy,http://bit.ly/2flpbsE,,,Unknown,,1640494.66390236,3999891.11023342,
128582,"November 22, 2016",Partially Verified,Europe,1,,Afghanistan,South Asia,Western Balkans,Abandoned industrial complex in northwestern Bulgaria,,1,,18,Sofia Globe,http://bit.ly/2fR6roQ,,,Hypothermia,,2562848.62742432,5375567.31340952,
128977,"April 12, 2016",Partially Verified,U.S./Mexico Border,1,,Unknown,Unknown,,"Train rails in Nava municipality, Coahuila, Mexico",,1,,30-35,El Siglo,http://bit.ly/2fM36V2,Localizan cuerpo de presunto migrante destrozado por el tren,,Crushed to death,,-11217917.2713032,3302120.13112176,
128978,"May 19, 2016",Partially Verified,Central America incl. Mexico,1,,El Salvador,Central America & Mexico,,"Río Cahoacán near Casa del Migrante in Tapachula, Chiapas Mexico",,1,,19,"El Mexico, Record Chiapas",http://bit.ly/2fLsLxi,Desaparece centroamericano que se bañaba en el Cahoacán,,Drowning,,-10268268.1700568,1675786.21756198,
129377,"November 9, 2016",Partially Verified,Central America incl. Mexico,1,,Haiti,Caribbean,Caribbean though Central America,"Hospital Mexico, San José, Costa Rica.",1,,,38,Presidency of Costa Rica (Official communiqué),http://bit.ly/2fv6Gll,Muere migrante irregular haitiana en Hospital México,,Cervix cancer,,-9352833.16373156,1109105.3793475,
129378,"November 22, 2016",Verified,Europe,1,,Afghanistan,South Asia,Western Balkans,"Woods near Adasevci transit reception center, in northwestern Serbia",,1,,23,IOM Belgrade,,,,Suicide,,2614322.03394141,5403117.8542336,
129777,"May 14, 2016",Partially Verified,Central America incl. Mexico,1,,Nepal,South Asia,,"Hospital Fernando Escalante Pradilla, Pérez Zeledón Canton, Costa Rica",,1,,22,Presidency of Costa Rica (Official communiqué),http://bit.ly/2fv6Gll,Muere migrante irregular haitiana en Hospital México,,Digestive bleeding,,-9317808.7228073,1047437.06983137,
130977,"November 18, 2016",Partially Verified,South America,1,,Dominican Republic,Caribbean,,"Colchane, Región de Tarapacá, near Bolivia border, Chile",1,,,44,CDN,http://bit.ly/2gb4Xml,Muere dominicana tratando de llegar ilegal a Chile,,Presumed hypothermia,,-7668056.94166894,-2237525.17965455,
130978,"November 21, 2016",Partially Verified,Europe,1,,Nigeria,Sub-Saharan Africa,,"Rio Roja, near Ventimiglia, Italy",,1,,25,San Remo News,http://bit.ly/2fMTXxN  http://bit.ly/2gC6ju3,"Ventimiglia: sospese alle 16.30 le ricerche di Kingsley, riprenderanno domattina se il meteo lo consentirà (Foto e Video)",,Drowning,,846655.140289043,5433125.90880937,
130979,"November 24, 2016",Partially Verified,Mediterranean,1,,Reported as unspecified national of Sub-Saharan Africa,Sub-Saharan Africa,Western Med,"Off the coast of Ceuta, Spain",,1,,20-25,EFE,http://bit.ly/2gHNL9k,,,Drowning,,-591918.958855484,4285534.34177078,
